state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Oregon,Overall,2020-02-18,2.159,41.631,-0.369,3.808,4.999,0.532
Oregon,Overall,2020-02-19,2.784,51.342,-0.786,4.512,6.146,1.336
Oregon,Overall,2020-02-20,3.982,32.756,-0.786,4.282,4.353,1.419
Oregon,Overall,2020-02-21,0.917,37.072,-1.26,4.396,6.992,3.758
Oregon,Overall,2020-02-22,2.775,71.89,-1.568,6.374,8.544,2.561
Oregon,Overall,2020-02-23,1.729,-11.475,-0.143,9.618,3.155,1.404
Oregon,Overall,2020-02-24,1.313,27.856,-0.612,5.212,3.191,3.783
Oregon,Overall,2020-02-25,3.734,43.732,-0.841,8.305,4.344,1.938
Oregon,Overall,2020-02-26,5.628,51.398,-1.449,10.661,6.2,1.884
Oregon,Overall,2020-02-27,5.343,49.329,-1.413,9.699,7.794,1.266
Oregon,Overall,2020-02-28,4.305,23.719,-1.438,7.601,6.766,2.813
Oregon,Overall,2020-02-29,5.429,7.884,-0.846,7.463,6.103,2.735
Oregon,Overall,2020-03-01,9.51,22.561,-1.293,17.339,9.175,2.809
Oregon,Overall,2020-03-02,6.923,13.76,-0.46,7.765,1.582,2.899
Oregon,Overall,2020-03-03,12.438,39.586,-0.558,9.858,2.431,1.223
Oregon,Overall,2020-03-04,8.776,57.183,-0.85,10.126,5.605,1.087
Oregon,Overall,2020-03-05,7.886,37.547,-0.664,7.15,3.91,0.776
Oregon,Overall,2020-03-06,1.968,-3.285,0.627,1.432,-0.679,0.591
Oregon,Overall,2020-03-07,3.229,16.04,0.011,4.531,3.959,2.708
Oregon,Overall,2020-03-08,4.524,23.871,-0.198,9.944,4.642,0.992
Oregon,Overall,2020-03-09,6.377,60.131,-0.297,6.329,1.336,1.595
Oregon,Overall,2020-03-10,7.616,70.768,-0.327,7.967,2.65,0.39
Oregon,Overall,2020-03-11,8.602,56.682,-0.199,8.39,1.489,-0.445
Oregon,Overall,2020-03-12,16.886,43.365,1.003,4.366,-2.92,-2.773
Oregon,Overall,2020-03-13,19.812,-7.252,3.763,-4.307,-11.217,-6.18
Oregon,Overall,2020-03-14,6.918,-11.729,5.545,-17.836,-15.802,-6.204
Oregon,Overall,2020-03-15,3.592,15.796,4.233,-10.524,-13.672,-9.449
Oregon,Overall,2020-03-16,17.333,53.307,6.632,-5.212,-15.928,-21.694
Oregon,Overall,2020-03-17,12.456,62.751,10.016,-21.736,-19.916,-29.248
Oregon,Overall,2020-03-18,7.571,76.039,11.036,-24.898,-24.043,-32.656
Oregon,Overall,2020-03-19,5.943,76.267,12.084,-28.317,-28.205,-34.918
Oregon,Overall,2020-03-20,3.929,66.38,12.867,-31.633,-31.237,-35.05
Oregon,Overall,2020-03-21,-3.554,81.444,8.407,-39.869,-26.359,-25.001
Oregon,Overall,2020-03-22,-9.182,47.672,7.788,-37.445,-31.513,-29.95
Oregon,Overall,2020-03-23,-10.623,-4.643,14.616,-37.948,-40.421,-41.159
Oregon,Overall,2020-03-24,-18.958,-16.807,18.332,-47.342,-44.066,-46.998
Oregon,Overall,2020-03-25,-17.222,3.004,18.01,-44.88,-42.996,-48.009
Oregon,Overall,2020-03-26,-16.946,-0.733,18.538,-45.659,-45.592,-48.504
Oregon,Overall,2020-03-27,-20.954,-28.028,20.298,-49.609,-49.195,-47.501
Oregon,Overall,2020-03-28,-23.954,-25.284,13.848,-54.6,-45.196,-35.661
Oregon,Overall,2020-03-29,-24.878,-22.171,12.059,-50.652,-46.853,-38.224
