state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Nebraska,York County,2020-02-16,,,,6.727,-9.542,6.127
Nebraska,York County,2020-02-17,,,,1.335,-10.593,-6.991
Nebraska,York County,2020-02-18,,,,6.102,-3.281,0.668
Nebraska,York County,2020-02-19,,,,-3.989,-10.182,-0.672
Nebraska,York County,2020-02-20,,,,-2.306,4.234,0.681
Nebraska,York County,2020-02-21,,,,4.622,13.228,-2.097
Nebraska,York County,2020-02-22,,,,6.071,3.086,3.307
Nebraska,York County,2020-02-23,,,,7.95,-7.952,6.127
Nebraska,York County,2020-02-24,,,,3.561,-8.828,3.496
Nebraska,York County,2020-02-25,,,,-6.102,-18.045,
Nebraska,York County,2020-02-26,,,,11.082,-11.748,0.672
Nebraska,York County,2020-02-27,,,,4.997,-1.694,2.723
Nebraska,York County,2020-02-28,,,,20.62,5.787,3.496
Nebraska,York County,2020-02-29,,,,6.391,-3.858,-4.96
Nebraska,York County,2020-03-01,,,,13.25,-11.132,4.085
Nebraska,York County,2020-03-02,,,,8.013,-17.655,2.796
Nebraska,York County,2020-03-03,,,,1.743,-22.146,-1.335
Nebraska,York County,2020-03-04,,,,9.309,-16.447,0.672
Nebraska,York County,2020-03-05,,,,2.306,2.541,7.489
Nebraska,York County,2020-03-06,,,,17.42,28.935,-1.398
Nebraska,York County,2020-03-07,,,,-0.32,19.29,-4.96
Nebraska,York County,2020-03-08,,,,15.696,1.59,-2.042
Nebraska,York County,2020-03-09,,,,-4.897,2.648,3.496
Nebraska,York County,2020-03-10,,,,3.051,2.461,2.003
Nebraska,York County,2020-03-11,,,,11.968,6.266,2.016
Nebraska,York County,2020-03-12,,,,7.688,17.785,-10.893
Nebraska,York County,2020-03-13,,,,9.599,21.495,-16.079
Nebraska,York County,2020-03-14,,,,-25.562,6.173,-13.228
Nebraska,York County,2020-03-15,,,,-7.95,3.181,
Nebraska,York County,2020-03-16,,,,-1.781,-0.883,-9.088
Nebraska,York County,2020-03-17,,,,-20.485,13.123,-14.022
Nebraska,York County,2020-03-18,,,,-11.968,3.133,-12.769
Nebraska,York County,2020-03-19,,,,-38.054,0.847,-14.978
Nebraska,York County,2020-03-20,,,,-23.109,10.747,-17.478
Nebraska,York County,2020-03-21,,,,-38.663,23.148,-19.841
Nebraska,York County,2020-03-22,,,,-43.012,-7.156,-22.467
Nebraska,York County,2020-03-23,,,,-40.064,2.648,-19.575
Nebraska,York County,2020-03-24,,,,-34.868,0.82,-24.706
Nebraska,York County,2020-03-25,,,,-33.245,,-23.521
Nebraska,York County,2020-03-26,,,,-38.438,12.703,-24.51
Nebraska,York County,2020-03-27,,,,-32.352,3.307,-30.761
Nebraska,York County,2020-03-28,,,,-43.456,-4.63,-23.148
Nebraska,York County,2020-03-29,,,,-40.158,-12.723,-32.68
